Restaurant Name,Location,Type of Cuisine,lat,lon,Address,Phone Number,Opening Hours
Tai Cha Fan,Tseung Kwan O,Chinese,22.3066879,114.2561036,"137B, Park Central, 9 Tong Tak St, Tseung Kwan O, Hong Kong",2350 1628,"SUN:1100~2200
MON:1100~2200
TUE:1100~2200
WED:1100~2200
THU:1100~2200
FRI:1100~2200
SAT:1100~2200"
Takano Ramen,Multiple locations,Japanese,35.4913383,139.6460091,"135-11 Ōguchidōri, Kanagawa Ward, Yokohama, Kanagawa 221-0002, Japan",045-717-9042,"TUE:1100~1400
WED:1100~1400
THU:1100~1400
FRI:1100~1400
SAT:1100~1500"
"T'ang Court (The Langham, Hong Kong)",Tsim Sha Tsui,Chinese,22.2964119,114.169746,"1F and 2F, The Langham, 8 Peking Rd, Tsim Sha Tsui, Hong Kong",2132 7898,"SUN:1100~1500, 1800~2200
MON:1200~1500, 1800~2200
TUE:1200~1500, 1800~2200
WED:1200~1500, 1800~2200
THU:1200~1500, 1800~2200
FRI:1200~1500, 1800~2200
SAT:1100~1500, 1800~2200"
Tango Argentinian Steakhouse,Central,Steakhouse,22.2804988,114.155431,"2/F, Grand Progress Building, 15 Lan Kwai Fong, Central, Hong Kong",2525 5808,"SUN:1145~1500, 1800~2200
MON:1145~1500, 1800~2200
TUE:1145~1500, 1800~2200
WED:1145~1500, 1800~2200
THU:1145~1500, 1800~2200
FRI:1145~1500, 1800~2200
SAT:1145~1500, 1800~2200"
TANGRAM Bistro & Bar,Wan Chai,Bar,22.2791623,114.1768624,"2/F, AKI Hong Kong- MGallery, 239 Jaffe Rd, Wan Chai, Hong Kong",2121 5021,"SUN:0700~2300
MON:0630~2300
TUE:0630~2300
WED:0630~2300
THU:0630~2300
FRI:0630~2300
SAT:0700~2300"
Tapas Brew,San Po Kong,Spanish,22.3337809,114.1967969,"Hong Kong, San Po Kong, Prince Edward Rd E, 638號Mikiki地下G02A號舖",2321 3138,"SUN:1130~2300
MON:1130~2300
TUE:1130~2300
WED:1130~2300
THU:1130~2300
FRI:1130~2300
SAT:1130~2300"
Tasty Hotpot Palace,Multiple locations,Hot Pot,22.2987869,114.1735822,"Hong Kong, Tsim Sha Tsui, Carnarvon Rd, 16號金輝大廈1樓全層 (入口於金馬倫道恆生銀行對面",2338 1515,"SUN:1200~0000
MON:1200~0000
TUE:1200~0000
WED:1200~0000
THU:1200~0000
FRI:1200~0000
SAT:1200~0000"
Tea Express Bar By Jrink,Tsim Sha Tsui,Tea Bar,22.2976094,114.1738104,"K11 Art Mall 18, 3/F Kiosk, 51 Hanoi Rd, Tsim Sha Tsui, Hong Kong",,"SUN:1200~1930
MON:1200~1930
TUE:1200~1930
WED:1200~1930
THU:1200~1930
FRI:1200~1930
SAT:1200~1930"
Testina,Central,Italian,22.28235249999999,114.1547437,"3/F, 8 Lyndhurst Terrace, Central, Hong Kong",2798 0668,"SUN:1200~1500, 1800~2300
MON:1200~1500, 1800~2300
WED:1200~1500, 1700~2300
THU:1200~1500, 1800~2300
FRI:1200~1500, 1800~2300
SAT:1200~1500, 1800~2300"
"The Bostonian (The Langham, Hong Kong)",Tsim Sha Tsui,American,22.296439,114.169776,"Lower Lobby, The Langham, Hong Kong, 8 Peking Rd, Tsim Sha Tsui, Hong Kong",2132 7898,"SUN:1200~1600, 1800~2200
MON:1200~1430, 1800~2200
TUE:1200~1430, 1800~2200
WED:1200~1430, 1800~2200
THU:1200~1430, 1800~2200
FRI:1200~1430, 1800~2200
SAT:1200~1600, 1800~2200"
The Cakery,Multiple locations,Bakery,37.5611419,126.9860666,"64-6 Chungmuro 2(i)-ga, Jung District, Seoul, South Korea",02-319-7863,"SUN:0730~2200
MON:0730~2200
TUE:0730~2200
WED:0730~2200
THU:0730~2200
FRI:0730~2200
SAT:0730~2200"
The Charcoal Room,Multiple locations,BBQ & Grill,36.2505239,-115.2441487,"4949 N Rancho Dr, Las Vegas, NV 89130, USA",(702) 515-4385,"SUN:1700~2100
MON:1700~2100
TUE:1700~2100
WED:1700~2100
THU:1700~2100
FRI:1700~2200
SAT:1700~2200"
The Continental,Admiralty,International,22.2776781,114.1649705,"Hong Kong, 中環金鐘道88號Pacific PlaceUnit 406 L4",2704 5211,"SUN:1100~2300
MON:1200~2300
TUE:1200~0000
WED:1200~0000
THU:1200~0000
FRI:1200~0000
SAT:1100~0000"
The Crown,Wan Chai,British,22.2748174,114.1782535,"25/F, The Emperor Hotel, 373 Queen's Rd E, Wan Chai, Hong Kong",2961 3399,"SUN:1700~0200
MON:1700~0200
TUE:1700~0200
WED:1700~0200
THU:1700~0200
FRI:1700~0200
SAT:1700~0200"
"The Food Gallery (The Langham, Hong Kong)",Tsim Sha Tsui,International,22.2964119,114.1697353,"Lobby Level, The Langham, Hong Kong, 8 Peking Rd, Tsim Sha Tsui, Hong Kong",2132 7898,"SUN:1145~1345, 1415~1615, 1800~2200
MON:1200~1430, 1800~2200
TUE:1200~1430, 1800~2200
WED:1200~1430, 1800~2200
THU:1200~1430, 1800~2200
FRI:1200~1430, 1800~2200
SAT:1145~1345, 1415~1615, 1800~2200"
"The Garage Bar (Cordis, Hong Kong)",Mong Kok,Bar & Lounge,22.318175,114.168112,"555 Shanghai Street Cordis, Level L, Mong Kok, Hong Kong",3552 3232,"SUN:1600~0000
MON:1600~0000
TUE:1600~0000
WED:1600~0000
THU:1600~0000
FRI:1600~0000
SAT:1600~0000"
The Grand Patagonia Argentinian Steak House,Sheung Wan,Steakhouse,22.2862529,114.1517808,"Hong Kong, Sheung Wan, Wing Lok St, 50號, Cs Tower, 3/F",9145 5937,"SUN:1200~1500, 1800~2300
MON:1200~1500, 1800~2230
TUE:1200~1500, 1800~2230
WED:1200~1500, 1800~2230
THU:1200~1500, 1800~2230
FRI:1200~1500, 1800~2300
SAT:1200~1500, 1800~2300"
The Jade,Chek Lap Kok,Chinese,22.3192316,113.9419454,"12/F, Lantau Island, International Airport, 8 Airport Expo Blvd, Chek Lap Kok, Hong Kong",3556 3228,"SUN:1200~1500, 1730~2200
MON:1200~1500, 1730~2200
TUE:1200~1500, 1730~2200
WED:1200~1500, 1730~2200
THU:1200~1500, 1730~2200
FRI:1200~1500, 1730~2200
SAT:1200~1500, 1730~2200"
The Lounge,Chek Lap Kok,Bar & Lounge,22.3149715,113.9340063,"Lantau Island, Terminal 1, First Sky St, Chek Lap Kok, Hong Kong",2123 1483,"SUN:0600~0000
MON:0600~0000
TUE:0600~0000
WED:0600~0000
THU:0600~0000
FRI:0600~0000
SAT:0600~0000"
The Lounge (JW Marriott Hotel Hong Kong),Admiralty,Bar & Lounge,22.2776513,114.1663702,"J W Marriott Hotel Hong Kong Cum The Upper House, Queensway, Admiralty, Hong Kong",2810 8366,"SUN:1100~0000
MON:0800~0000
TUE:1100~0000
WED:1100~0000
THU:1100~0000
FRI:1100~0000
SAT:0800~0000"
"The Place (Cordis, Hong Kong)",Mong Kok,International,22.318175,114.168112,"555 Shanghai St, Mong Kok, Hong Kong",3552 3388,
The Point Kitchen,Tai Kok Tsui,Café & Kitchen,22.316575,114.1613874,"Shop 105A, 1/F, Olympian City 2, 18 Hoi Ting Rd, Tai Kok Tsui, Hong Kong",3614 5430,"SUN:1200~2200
MON:1200~2200
TUE:1200~2200
WED:1200~2200
THU:1200~2200
FRI:1200~2200
SAT:1200~2200"
The Point Pizza & Pasta,Tsim Sha Tsui,Italian,22.2999364,114.1727839,"Hong Kong, Tsim Sha Tsui, Nathan Rd, 100號L409",2598 0030,"SUN:1200~2200
MON:1200~2200
TUE:1200~2200
WED:1200~2200
THU:1200~2200
FRI:1200~2200
SAT:1200~2200"
The Sloth,Tsuen Wan,Café,22.3753458,114.113186,"Hong Kong, 荃灣青山公路 - 荃灣段388號中染大廈1樓115舖",2350 0368,"SUN:0700~2200
MON:0700~2200
TUE:0700~2200
WED:0700~2200
THU:0700~2200
FRI:0700~2200
SAT:0700~2200"
the street café,Multiple locations,Café,37.5249807,127.0512109,"Dosan-daero, Gangnam District, Seoul, South Korea",,"SUN:1000~2200
MON:1000~2200
TUE:1000~2200
WED:1000~2200
THU:1000~2200
FRI:1000~2200
SAT:1000~2200"
Timeo Coffee,Kowloon Bay,Coffee,22.3256778,114.2068191,"Shop G02, G/F, Goldin Financial Global Centre, 17 Kai Cheung Rd, Kowloon Bay, Hong Kong",,
Tonic,Mong Kok,Bar & Lounge,22.3181739,114.1685968,"Shop 07, Level 13 Langham Place, 8 Argyle St, Mong Kok, Hong Kong",2972 0019,"SUN:1700~0000
MON:1700~0000
TUE:1700~0000
WED:1700~0000
THU:1700~0000
FRI:1700~0200
SAT:1700~0200"
Top Grade Hot Pot,Tin Hau,Hot Pot,22.2848856,114.1921024,"5-7 Tsing Fung St, North Point, Hong Kong",2323 1008,"SUN:1530~0100
MON:1530~0100
TUE:1530~0100
WED:1530~0100
THU:1530~0100
FRI:1530~0100
SAT:1530~0100"
Tora Tetsu Teppanyaki,Causeway Bay,Japanese,22.2803108,114.1837624,"12/F, Macau Yat Yuen Centre, 525 Hennessy Rd, Causeway Bay, Hong Kong",2164 9968,"SUN:1200~1530, 1800~2300
MON:1200~1530, 1800~2300
TUE:1200~1530, 1800~2300
WED:1200~1530, 1800~2300
THU:1200~1530, 1800~2300
FRI:1200~1530, 1800~2300
SAT:1200~1530, 1800~2300"
Toretore Hamayaki,Causeway Bay,Japanese,22.2803276,114.1837332,"18/F, Macau Yat Yuen Centre, 525 Hennessy Rd, Causeway Bay, Hong Kong",2575 5677,"SUN:1200~1530, 1730~2300
MON:1200~1530, 1730~2300
TUE:1200~1530, 1730~2300
WED:1200~1530, 1730~2300
THU:1200~1530, 1730~2300
FRI:1200~1530, 1730~2300
SAT:1200~1530, 1730~2300"
Tori Izakaya,Causeway Bay,Japanese,22.2803137,114.183751,"17/F, Macau Yat Yuen Centre, 525 Hennessy Rd, Causeway Bay, Hong Kong",2717 7001,"SUN:1200~1600, 1700~2300
MON:1200~1600, 1700~2300
TUE:1200~1600, 1700~2300
WED:1200~1600, 1700~2300
THU:1200~1600, 1700~2300
FRI:1200~1600, 1700~2300
SAT:1200~1600, 1700~2300"
Tori Kin,Tsim Sha Tsui,Japanese,22.2996133,114.1738698,"Hong Kong, Tsim Sha Tsui, Hau Fook St, 12-12A號, The Lamma Tower, 21樓 21/F",5404 3764,"SUN:1400~0000
MON:1400~0000
TUE:1400~0000
WED:1400~0000
THU:1400~0000
FRI:1400~0000
SAT:1400~0000"
Tsukiyomi Tori-Soba,Tai Kok Tsui,Japanese,22.3163548,114.1616969,"Shop 146A, 1/F, Olympian City 2, 18 Hoi Ting Rd, Tai Kok Tsui, Hong Kong",2328 6266,"SUN:1100~2200
MON:1100~2200
TUE:1100~2200
WED:1100~2200
THU:1100~2200
FRI:1100~2200
SAT:1100~2200"
Twelve Cupcakes,Multiple locations,Bakery,1.2839718,103.851203,"1 Raffles Pl, B1-27, Singapore 048616",6533 8411,"MON:0900~2100
TUE:0900~2100
WED:0900~2100
THU:0900~2100
FRI:0900~2100"
Twinkle Baker Décor,Multiple locations,Bakery,22.2779519,114.1847609,"G02, Eton Tower, 8 Hysan Ave, Causeway Bay, Hong Kong",5720 1899,"SUN:1130~2030
MON:1130~2030
TUE:1130~2030
WED:1130~2030
THU:1130~2030
FRI:1130~2030
SAT:1130~2030"
Twist & Buckle,Tsim Sha Tsui,Bar & Lounge,22.2979041,114.1753096,"29-31 Chatham Rd S, Tsim Sha Tsui, Hong Kong",6508 2674,"SUN:1200~2230
MON:1200~2230
TUE:1200~2230
WED:1200~2230
THU:1200~2230
FRI:1200~2300
SAT:1200~2300"
Tze Yuet Heen (Crowne Plaza Hong Kong Kowloon East),Tseung Kwan O,Chinese,22.3078355,114.2596675,"Tseung Kwan O, Hong Kong",3983 0688,"SUN:0900~1600, 1800~2300
MON:1130~1500, 1800~2300
TUE:1130~1500, 1800~2300
WED:1130~1500, 1800~2300
THU:1130~1500, 1800~2300
FRI:1130~1500, 1800~2300
SAT:0900~1600, 1800~2300"
U Izakaya,Causeway Bay,Japanese,22.2772905,114.181626,"Hong Kong, Causeway Bay, Yiu Wa St, 38號ZING!10樓",9506 3962,"SUN:1200~1600, 1700~2300
MON:1200~1600, 1700~2300
TUE:1200~1600, 1700~2300
WED:1200~1600, 1700~2300
THU:1200~1600, 1700~2300
FRI:1200~1600, 1700~2300
SAT:1200~1600, 1700~2300"
Uchi Coffee,Tai Wai,Coffee,22.3765086,114.1782063,"Hong Kong, Tai Wai, Chik Shun St, 31-51號, On Shun Mansion, 49 地下P 舖",2677 3218,"SUN:1130~2200
MON:1130~2200
TUE:1130~2200
WED:1130~2200
THU:1130~2200
FRI:1130~2200
SAT:1130~2200"
Unagi Koubou,Tsim Sha Tsui,Japanese,22.2981609,114.1739487,"Hong Kong, Tsim Sha Tsui, Hart Ave, 1及3號, Lee Wai Commercial Building, 地下7號舖",5598 8744,"SUN:1200~1600, 1700~2230
MON:1200~1600, 1700~2230
TUE:1200~1600, 1700~2230
WED:1200~1600, 1700~2230
THU:1200~1600, 1700~2230
FRI:1200~1600, 1700~2230
SAT:1200~1600, 1700~2230"
Uncle Ming's,Wan Chai,Chinese,22.2792047,114.1768771,"25/F, AKI Hong Kong - MGallery, 239 Jaffe Rd, Wan Chai, Hong Kong",2121 5023,"SUN:1700~0000
MON:1700~0000
TUE:1700~0000
WED:1700~0000
THU:1700~0000
FRI:1700~0200
SAT:1700~0200"
Veda Café & Bar,Central,Café & Bar,22.2802407,114.1545988,"2 Arbuthnot Rd, Central, Hong Kong",3755 3067,"SUN:0700~1600
MON:0700~1600
TUE:0700~2230
WED:0700~2230
THU:0700~2230
FRI:0700~2230
SAT:0700~2230"
Victoria Pearl,North Point,Seafood,22.2929798,114.199574,"東座5樓, 北角匯, 1號 North Point Estate Ln, North Point, Hong Kong",2361 1172,"SUN:1100~1500, 1730~2200
MON:1100~1500, 1730~2200
TUE:1100~1500, 1730~2200
WED:1100~1500, 1730~2200
THU:1100~1500, 1730~2200
FRI:1100~1500, 1730~2200
SAT:1100~1500, 1730~2200"
Victorian Era,Multiple locations,British,,,,,No work time available
Villa26,Tsim Sha Tsui,Italian,22.2974599,114.1777302,"Tsim Sha Tsui Centre, 66號 Mody Rd, Tsim Sha Tsui, Hong Kong",2724 0707,"SUN:1200~2200
MON:1200~2200
TUE:1200~2200
WED:1200~2200
THU:1200~2200
FRI:1200~2200
SAT:1200~2200"
Vivace,Chek Lap Kok,Italian,22.3191672,113.9421627,"3/F, Lantau Island, International Airport, 8 Airport Expo Blvd, Chek Lap Kok, Hong Kong",3556 3218,"SUN:1200~2300
MON:1200~2300
TUE:1200~2300
WED:1200~2300
THU:1200~2300
FRI:1200~2300
SAT:1200~2300"
Vivant,Central,International,22.28235249999999,114.1547437,"Hong Kong, 中環擺花街8號G/F",2952 2766,"TUE:1800~0000
WED:1800~0000
THU:1800~0000
FRI:1800~0000
SAT:1800~0000"
Voynich,Tsim Sha Tsui,Cocktail Bar,22.2953381,114.1688303,"shop 401, Level 4, Ocean Centre, Harbour City, Canton Rd, Tsim Sha Tsui, Hong Kong",2688 2408,"SUN:1200~2300
MON:1200~2300
TUE:1200~2300
WED:1200~2300
THU:1200~2300
FRI:1200~2300
SAT:1200~2300"
Wagyu Yakiniku Ichiro,Multiple locations,Japanese,,,,,No work time available
Wall Is Eat,Yau Ma Tei,Asian Fusion,22.3124806,114.1703052,"M1 Hotel, 28 Portland St, Yau Ma Tei, Hong Kong",2710 6633,"SUN:1200~2230
MON:1200~2230
TUE:1200~2230
WED:1200~2230
THU:1200~2230
FRI:1200~2230
SAT:1200~2230"
Whey,Central,Café,22.2848936,114.1528269,"UG/F, The Wellington, 198 Wellington St, Central, Hong Kong",2693 3198,"SUN:1200~1500, 1800~2300
MON:1200~1500, 1800~2300
TUE:1200~1500, 1800~2300
WED:1200~1500, 1800~2300
THU:1200~1500, 1800~2300
FRI:1200~1500, 1800~2300
SAT:1200~1500, 1800~2300"
WOOBAR,Tsim Sha Tsui,Bar & Lounge,22.3048667,114.1606448,"Hong Kong, Tsim Sha Tsui, Austin Rd W, 1號, W 6, F",3717 2889,"SUN:1200~2200
MON:1200~0000
TUE:1200~0000
WED:1200~0000
THU:1200~0000
FRI:1200~0000
SAT:1200~0000"
Wulu Restaurant,Tsim Sha Tsui,International,22.3028232,114.1753561,"Perfect Commercial Building, 20號 Austin Ave, Tsim Sha Tsui, Hong Kong",2606 2106,"SUN:1700~0000
MON:1700~0000
TUE:1700~0000
WED:1700~0000
THU:1700~0000
FRI:1700~0000
SAT:1700~0000"
Xiabu Xiabu,Multiple locations,Chinese,39.9400771,116.4354986,"China, Bei Jing Shi, Dong Cheng Qu, Dongzhimen, 东直门外大街48号银座MALL地下一层 邮政编码: 100007",400 817 7878,"SUN:1030~2130
MON:1030~2130
TUE:1030~2130
WED:1030~2130
THU:1030~2130
FRI:1030~2130
SAT:1030~2130"
Yakiniku Homura,Tuen Mun,Japanese,22.393048,113.976644,"Hong Kong, Tuen Mun, Tuen Shun St, 1號屯門市廣場1期2樓2253A舖",2330 3881,"SUN:1130~2130
MON:1130~2130
TUE:1130~2130
WED:1130~2130
THU:1130~2130
FRI:1130~2130
SAT:1130~2130"
YAKINIKU KAKURA,Causeway Bay,Japanese,22.2813968,114.1839249,"Hong Kong, Causeway Bay, Jaffe Rd, 535號HK 香港島 銅鑼灣 Tower 535 1樓 101-102號舖",2803 2138,"SUN:1200~2200
MON:1200~2200
TUE:1200~2200
WED:1200~2200
THU:1200~2200
FRI:1200~2200
SAT:1200~2200"
Yakiniku Otoko,Multiple locations,Japanese,22.3068805,114.2561653,"Hong Kong, Tseung Kwan O, Tong Tak St, 9號, Park Central, 1樓135號舖",9767 1789,"SUN:1100~2230
MON:1130~2230
TUE:1130~2230
WED:1130~2230
THU:1130~2230
FRI:1130~2230
SAT:1100~0030"
Yakiniku Shin,Tsim Sha Tsui,Japanese,22.2983375,114.1743575,"Shop 102, 1/F, Multifield Plaza, 3-7A Prat Ave, Tsim Sha Tsui, Hong Kong",2518 3828,"SUN:1300~1600, 1700~2300
MON:1300~1600, 1700~2300
TUE:1300~1600, 1700~2300
WED:1300~1600, 1700~2300
THU:1300~1600, 1700~2300
FRI:1300~1600, 1700~2300
SAT:1300~1600, 1700~2300"
Yakiniku Ushio,Central,Japanese,22.280824,114.1560904,"Wellington Place, 2-8 Wellington St, Central, Hong Kong",2328 2318,"SUN:1200~1500, 1800~2230
MON:1200~1500, 1800~2230
TUE:1200~1500, 1800~2230
WED:1200~1500, 1800~2230
THU:1200~1500, 1800~2230
FRI:1200~1500, 1800~2230
SAT:1200~1500, 1800~2230"
YASHIMA,Central,Japanese,22.2845699,114.1530312,"G/F, 2-4 Kau U Fong, Central, Hong Kong",2328 8089,"SUN:1200~1500, 1800~2300
MON:1200~1500, 1800~2300
TUE:1200~1500, 1800~2300
WED:1200~1500, 1800~2300
THU:1200~1500, 1800~2300
FRI:1200~1500, 1800~2300
SAT:1200~1500, 1800~2300"
Ying Jee Club,Central,Chinese,22.2843176,114.1565628,"Shop G05, 107-108, Nexxus Building, 41 Connaught Rd Central, Central, Hong Kong",2801 6882,"SUN:1130~1500, 1800~2300
MON:1130~1500, 1800~2300
TUE:1130~1500, 1800~2300
WED:1130~1500, 1800~2300
THU:1130~1500, 1800~2300
FRI:1130~1500, 1800~2300
SAT:1130~1500, 1800~2300"
YinYue,Tsuen Wan,Chinese,22.3690715,114.1210027,"Hong Kong, Tsuen Wan, Tsuen Wah St, 3號, 30, 號 悅 來 酒店",2409 3182,"SUN:1000~1530, 1800~2230
MON:1100~1500, 1800~2230
TUE:1100~1500, 1800~2230
WED:1100~1500, 1800~2230
THU:1100~1500, 1800~2230
FRI:1100~1500, 1800~2230
SAT:1100~1500, 1800~2230"
Yurakucho,Central,Japanese,22.280928,114.1549201,"G/F, Yu Yuet Lai Building, 43-55 Wyndham St, Central, Hong Kong",2663 0068,"MON:1200~0000
TUE:1200~0000
WED:1200~0000
THU:1200~0000
FRI:1200~0200
SAT:1200~0200"
Zenon Cafe,Central,Café,22.282702,114.1546736,"86號 Wellington St, Central, Hong Kong",3425 4488,"SUN:0930~2130
MON:0930~2130
TUE:0930~2130
WED:0930~2130
THU:0930~2130
FRI:0930~2230
SAT:0930~2230"
Zoku Restaurant & The Terrace,Wan Chai,International,22.2789052,114.1781576,"2/F, 330 Lockhart Rd, Wan Chai, Hong Kong",2129 0338,"SUN:1200~2300
MON:1200~1430, 1500~2300
TUE:1200~1430, 1500~2300
WED:1200~1430, 1500~2300
THU:1200~1430, 1500~2300
FRI:1200~1430, 1500~2300
SAT:1200~2300"
ZZURA,Central,Japanese,22.28220109999999,114.1540188,"2/F, Amber Lodge, 23 Hollywood Rd, Central, Hong Kong",2639 9155,"SUN:1600~0000
TUE:1600~0000
WED:1600~0000
THU:1700~0100
FRI:1700~0200
SAT:1700~0200"
